date,country,title,label,views,description,attributes,classify_text,categories_generated
2023-03,Colombia,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,109715,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020,Not Sports
2023-03,Spain,Ana_Obregón,Ana Obregón,108175,Spanish actress,human,spanish actress,Not Sports
2023-03,Spain,Ramón_Tamames,Ramón Tamames,104804,Spanish economist and politician,human,spanish economist politician,Not Sports
2023-03,Colombia,Kitty_O'Neil,Kitty O'Neil,101924,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018,Not Sports
2023-03,Argentina,María_Onetto,María Onetto,101298,Argentine actress (1966–2023),human,argentine actress 1966–2023,Not Sports
2023-03,Peru,Julieta_Lanteri,Julieta Lanteri,97415,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932,Not Sports
2023-03,Mexico,Rebecca_Jones,Rebecca Jones,85168,Mexican actress (1957–2023),human,mexican actress 1957–2023,Not Sports
2023-03,Spain,Laura_Gómez-Lacueva,Laura Gómez-Lacueva,82043,Spanish actress (1975–2023),human,spanish actress 1975–2023,Not Sports
2023-03,Chile,Julieta_Lanteri,Julieta Lanteri,73900,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932,Not Sports
2023-03,Spain,Juan_José_Ballesta,Juan José Ballesta,73241,Spanish actor,human,spanish actor,Not Sports
2023-03,Peru,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,69871,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020,Not Sports
2023-03,Mexico,Brendan_Fraser,Brendan Fraser,67647,Canadian-American actor (born 1968),human,canadian american actor born 1968,Not Sports
2023-03,Mexico,Ignacio_López_Tarso,Ignacio López Tarso,67515,Mexican actor and politician (1925–2023),human,mexican actor politician 1925–2023,Not Sports
2023-03,Colombia,Julieta_Lanteri,Julieta Lanteri,65712,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932,Not Sports
2023-03,Spain,Georgina_Rodríguez,Georgina Rodríguez,63793,Argentine-Spanish model and businesswoman,human,argentine spanish model businesswoman,Not Sports
2023-03,Peru,Tongo,Tongo,62026,Peruvian singer (1957–2023),human,peruvian singer 1957–2023,Not Sports
2023-03,Spain,Laura_Valenzuela,Laura Valenzuela,60009,Spanish television presenter (1931–2023),human,spanish television presenter 1931–2023,Not Sports
2023-03,Mexico,Irma_Serrano,Maria Quintero,58843,"Mexican singer, actress, politician, theatre entrepreneur and author (1933–2023)",human,mexican singer actress politician theatre entrepreneur author 1933–2023,Not Sports
2023-03,Peru,Kitty_O'Neil,Kitty O'Neil,58468,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018,Not Sports
2023-03,Spain,Ana_Obregón,Ana Obregón,55362,Spanish actress,human,spanish actress,Not Sports
2023-03,Mexico,Benito_Juárez,Benito Juárez,53922,President of Mexico from 1858 to 1872,human,president mexico 1858 1872,Not Sports
2023-03,Mexico,Randy_Arozarena,Randy Arozarena,53887,Cuban-Mexican baseball player,human,cuban mexican baseball player,Sports
2023-03,Spain,Fernando_Alonso,Fernando Alonso,53725,Spanish racing driver,human,spanish racing driver,Not Sports
2023-03,Spain,Andrea_Guasch,Andrea Guasch,52808,Spanish actress,human,spanish actress,Not Sports
2023-03,Argentina,María_Onetto,María Onetto,52012,Argentine actress (1966–2023),human,argentine actress 1966–2023,Not Sports
2023-03,Chile,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,51614,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020,Not Sports
2023-03,Colombia,Kitty_O'Neil,Kitty O'Neil,49839,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018,Not Sports
2023-03,Spain,Andrea_Guasch,Andrea Guasch,48986,Spanish actress,human,spanish actress,Not Sports
2023-03,Chile,Kitty_O'Neil,Kitty O'Neil,48889,American racing driver and stuntwoman (1946–2018),human,american racing driver stuntwoman 1946–2018,Not Sports
2023-03,Peru,Julieta_Lanteri,Julieta Lanteri,46859,Argentine pharmacologist and suffragist (1873–1932),human,argentine pharmacologist suffragist 1873–1932,Not Sports
2023-03,Mexico,Irma_Serrano,Maria Quintero,46005,"Mexican singer, actress, politician, theatre entrepreneur and author (1933–2023)",human,mexican singer actress politician theatre entrepreneur author 1933–2023,Not Sports
2023-03,Mexico,Jamie_Lee_Curtis,Jamie Lee Curtis,44935,American actress and author,human,american actress author,Not Sports
2023-03,Mexico,Benito_Juárez,Benito Juárez,43710,President of Mexico from 1858 to 1872,human,president mexico 1858 1872,Not Sports
2023-03,Colombia,José_Mario_Molina_Pasquel_y_Henríquez,Mario Molina,43553,Mexican chemical engineer (1943–2020),human,mexican chemical engineer 1943–2020,Not Sports
